stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,PART,OF,THE,FAMILY,SHOULD,BE,SLEEPING,WHILE,THE,REST,IS,AWAKE,S
2,IT,MADE,NO,DIFFERENCE,THAT,MOST,EVIDENCE,POINTS,TO,AN,OPPOSITE,CONCLUSION,S
3,SHIPMENTS,OF,ARMS,FROM,WESTERN,COUNTRIES,COULD,SIMILARLY,BE,SEIZED,AS,CONTRABAND,S
1,HU,ONVINTED,O,STOLT,OY,TOCOL,ESDERTS,OSE,OY,PORY,ZOOSOUS,GEMUNTEERS,N
2,HU,BEXES,HUS,OPPREYES,OD,REE,BEROOF,FROT,OTUBLING,CAG,LILLOW,OTUBLING,N
3,EN,PLIN,SCOY,TRORE,DERE,SU,PORY,STORECTEST,OSE,SU,MUME,DETIVE,N
4,DRUTTY,OCTOILED,REE,PEVISION,PITH,INDETBERESTS,OSE,DOD,VOT,URTER,REE,ONCUMENCE,N
5,PLIN,PROCEFOSE,OS,MUME,HORE,EGGOCTIVE,FRON,GOVING,OOT,O,ROMMERSHIP,MICKET,N
6,MOGS,SCHOAT,MYNTEMS,LOGOY,MOILBOIN,O,MYNTEM,OY,CUROCOTIVE,REGONDS,OY,MUPOLS,N
4,I,WANT,TO,CREATE,THE,IMPRESSION,OF,A,COMPOUND,FULL,OF,CHILDREN,S
5,KATE,WENT,BACK,AND,REMINDED,THE,KITCHEN,WOMEN,OF,THE,SUPPER,PREPARATIONS,S
6,HE,KNELT,DOWN,AT,HIS,BED,AS,LONG,AS,HE,COULD,KNEEL,S
7,SOLFORE,HUD,MOFFS,BEOVES,REE,RORMS,OY,REE,LIFFS,TROR,REE,GONDOW,N
8,OSE,PLIN,WAM,LEFOSE,HU,BENON,RO,SCOY,HUS,STISQUINGLY,BOOLTISUL,JOWD,N
9,OT,OSTEORED,FROT,REE,PLEUPY,COURN,NE,SOMES,EN,OVE,WOB,UMLY,N
7,THERE,IS,NO,OCCASION,TO,FEEL,UNEASY,OR,DISTURBED,ABOUT,THESE,PEOPLE,S
8,USUALLY,THERE,ARE,MORE,FACTORS,TO,GOOD,SITE,PLANNING,THAN,FIRST,IMPRESSIONS,S
9,IT,WAS,A,RELIEF,TO,SHIFT,IN,HIS,MIND,TO,TECHNICAL,PROBLEMS,S
10,REE,TROPLEN,OY,SYMICILITY,OSE,MOTOLE,OGICS,INVIQUES,REE,CONGOPT,OY,VOSUTS,N
11,E,CRODGED,REE,BOOLTISELLY,FURNOINED,FIDING,ROOR,RO,REE,POMP,YORROW,PHOVE,N
12,VO,SPIEND,WOURN,UDER,SNINK,OY,ORGING,HOM,RO,FE,SUME,SNINGS,N
10,THE,ONLY,EXCEPTION,TO,THIS,IS,CERTAIN,BEES,THAT,HAVE,BECOME,PARASITES,S
11,IT,WAS,LIKE,A,LONG,THIN,LINE,DRAWN,THROUGH,A,PINK,CIRCLE,S
12,I,COULD,NOT,CLING,TO,MY,PAST,NOR,DID,I,WISH,TO,S
13,EACH,OF,THOSE,TICKETS,WAS,OF,GREAT,VALUE,TO,ITS,RIGHTFUL,RECIPIENT,S
14,I,TURNED,AND,WATCHED,HIM,STRIDE,DOWN,THE,CENTER,OF,THE,ROAD,S
15,HE,WAS,READYING,A,BATCH,OF,SOURDOUGH,BISCUITS,FOR,THE,DUTCH,OVEN,S
13,THUN,HU,NOLIGNS,FROT,REE,DRE,DOOD,OY,REE,WHOOLS,HUD,SLELLEN,N
14,REE,HOLL,WAM,OLPO,O,RECUNK,OY,OLBUST,O,DEGOLL,OY,WOFT,N
15,REE,MEP,WROW,TROR,REE,COND,HUD,WIED,OOT,OY,REE,SKO,N
16,HER,GLANCE,SWUNG,PAST,THE,TRAILER,WHERE,THE,TWO,DRIVERS,WERE,STANDING,S
